slug,title,short_description,category,accent,tech_stack,tags,status,visibility,is_featured,featured_order,year_built,complexity,project_type,platform,team_size,duration,github_link,live_link,pdf_link,custom_link,sort_order,seo_title,seo_description,thumbnail_url,og_image_url
linkivo,Linkivo — Smart Link Manager,"A progressive web app for intelligent link management with weighted discovery system, GSAP animations, and Firebase backend.",PWA,#6366F1,"{JavaScript,Firebase,GSAP,HTML5,CSS3}","{pwa,link-management,firebase,gsap,splash-screen,pin-auth,weighted-algorithm,realtime-database,offline-first,svg-animations}",published,public,true,1,2024,advanced,PWA,web,1,Ongoing,,,,,1,Linkivo — Smart Link Manager PWA | Muhtasim Rahman,"Linkivo is an advanced PWA for intelligent link management with GSAP cinematic animations, Firebase auth, weighted discovery algorithm, and multi-layered website preview system.",,
qr-prism,QR Prism,"Feature-rich Progressive Web App for generating, scanning, and managing QR codes with batch processing, cloud storage, and admin panel.",PWA,#6366F1,"{JavaScript,Firebase,JSZip,HTML5,CSS3,SVG}","{pwa,qr-code,qr-generator,qr-scanner,batch-processing,firebase,jszip,service-worker,admin-panel,offline-first,camera-scanner}",published,public,true,2,2023,intermediate,PWA,web,1,1 year,https://github.com/muhtasim-rahman/qr-prism,https://muhtasim-rahman.github.io/qr-prism,,,2,QR Prism — Advanced QR Code PWA | Muhtasim Rahman,"QR Prism is a full-featured QR code PWA with generation, scanning, batch CSV processing, ZIP export, Firebase cloud storage, and secure admin panel.",,
project-exporter-pro,Project Exporter Pro,"Self-contained JavaScript export engine supporting PNG, JPG, WebP, SVG, PDF, and CMYK with Shadow DOM isolation. Zero external dependencies.",Dev Tool,#A855F7,"{JavaScript,HTML5,CSS3,Canvas API,Shadow DOM,Web Components}","{javascript-library,export-engine,shadow-dom,png-export,pdf-export,svg-export,open-source,zero-dependency,canvas-api,web-components}",published,public,true,5,2024,advanced,Library,web,1,2 months,https://github.com/muhtasim-rahman/exporter-pro,https://muhtasim-rahman.github.io/exporter-pro,,,5,Project Exporter Pro — JS Export Library | Muhtasim Rahman,"Open-source JavaScript export engine with Shadow DOM isolation. Supports PNG, JPG, WebP, SVG, PDF, CMYK. Zero dependencies, plug-and-play API.",,
ufmt-ssc26,FMT Tracker — SSC-26,"Smart merit tracking dashboard for SSC-26 students powered by Google Sheets — track exam ranks, positions, and academic performance in real time.",Education,#F59E0B,"{JavaScript,HTML5,CSS3,Google Sheets API}","{education,exam-tracker,merit-position,ranking,google-sheets,student-dashboard,ssc-26,bangladesh,academic,real-time}",published,public,true,3,2024,intermediate,Web App,web,1,3 months,https://github.com/muhtasim-rahman/UFMT-SSC26,https://muhtasim-rahman.github.io/UFMT-SSC26/,,,3,UFMT SSC-26 Merit Tracker | Muhtasim Rahman,"Udvash FMT Tracker for SSC-26 students. Track merit positions and exam ranks in real time using Google Sheets as database.",,
notification-panel,Notification Panel,"Dynamic Google Sheets-powered notification widget with read/unread tracking, filters, and local storage persistence. Drop-in for any website.",UI Component,#EC4899,"{JavaScript,HTML5,CSS3,Google Sheets API}","{notification-panel,web-component,google-sheets,real-time,local-storage,ui-widget,embeddable,open-source,responsive,read-unread}",published,public,true,4,2024,intermediate,UI Component,web,1,6 weeks,https://github.com/muhtasim-rahman/notification-panel,https://muhtasim-rahman.github.io/notification-panel/,,,4,Notification Panel — Google Sheets UI Widget | Muhtasim Rahman,"Functional notification panel powered by Google Sheets. Features read/unread tracking, filters, and local storage. Drop-in embed for any website.",,
sgsc-web-campus,SGSC Web Campus,"Institutional website and digital campus portal for Saidpur Government Science College built on Odoo with custom Python modules.",Institutional,#0EA5E9,"{Odoo,Python,JavaScript,HTML5,CSS3,PostgreSQL}","{institutional,odoo,python,college-website,portal,campus,government,education,web-platform,erp}",published,public,false,,2024,intermediate,Website,web,2,4 months,,,,https://sgscollegehighschool.edu.bd/,6,SGSC Web Campus — Institutional Portal | Muhtasim Rahman,"Official digital campus portal for Saidpur Government Science College. Built on Odoo with custom Python modules, student portal, and institutional pages.",,
portfolio-v2,Portfolio v2 — mdturzo.web.app,"Current personal portfolio website built with React 18, Vite, Tailwind, Framer Motion, Supabase, and Firebase. The site you're on right now.",Portfolio,#8B5CF6,"{React,Vite,Tailwind CSS,Framer Motion,Zustand,Supabase,Firebase,JavaScript}","{portfolio,react,vite,tailwind,framer-motion,supabase,firebase,zustand,personal-site,web-app}",published,public,false,,2024,advanced,Portfolio,web,1,Ongoing,https://github.com/muhtasim-rahman/mdturzo,https://mdturzo.web.app,,,7,Portfolio v2 — Muhtasim Rahman's Website,"Personal portfolio website built with React 18, Vite, Tailwind CSS, Framer Motion, Supabase, and Firebase. Showcasing projects, skills, and contact.",,
portfolio-v1,Portfolio v1 — Odoo,"First professional portfolio built on Odoo framework with custom Python modules, deployed on Odoo.com. (Legacy — superseded by v2)",Portfolio,#8B5CF6,"{Odoo,Python,JavaScript,HTML5,CSS3}","{portfolio,odoo,python,legacy,personal-site,first-version}",published,public,false,,2023,intermediate,Portfolio,web,1,2 months,,https://mdturzo.odoo.com,,,14,Portfolio v1 — Muhtasim Rahman (Odoo),"First personal portfolio built on Odoo framework. Legacy version superseded by the current React-based portfolio.",,
github-profile,GitHub Profile README,"Highly customized GitHub profile README with dynamic stats, contribution graphs, skill badges, and animated sections.",Dev Tool,#A855F7,"{Markdown,HTML,GitHub Actions,SVG,Shields.io}","{github,readme,profile,markdown,github-actions,shields,stats,badges,open-source,developer-profile}",published,public,false,,2024,beginner,README,web,1,1 week,https://github.com/muhtasim-rahman,https://github.com/muhtasim-rahman,,,9,GitHub Profile README | Muhtasim Rahman,"Customized GitHub profile README with dynamic stats, contribution graphs, animated skill badges, and GitHub Actions for auto-updates.",,
halal,Halal — World of Muslims,"Interactive Islamic educational resource covering the Five Pillars of Islam with rich visuals, Arabic text, and responsive design.",Islamic,#06B6D4,"{JavaScript,HTML5,CSS3,SVG}","{islamic,five-pillars,education,arabic,responsive,interactive,religion,html5,css3,visual}",published,public,true,6,2024,intermediate,Web App,web,1,6 weeks,https://github.com/muhtasim-rahman/halal,https://muhtasim-rahman.github.io/halal,,,8,Halal — World of Muslims | Islamic Resource,"Interactive Islamic educational website about the Five Pillars of Islam. Features rich visuals, Arabic text, and comprehensive content for Muslims worldwide.",,
