id,slug,title,short_name,tagline,short_description,long_description,content,key_features,notes,changelog,thumbnail_url,og_image_url,screenshots,video_url,github_link,live_link,pdf_link,custom_link,custom_link_label,extra_links,tags,category,type,platform,tech_stack,languages,frameworks,libraries,backend,database,hosting,complexity_level,version,year_built,duration,project_timeline,start_date,team_size,role,institution,client,is_featured,featured_order,sort_order,is_highlighted,highlight_label,open_source,has_pwa,has_dark_mode,has_responsive,accent,seo_title,seo_description,seo_keywords,status,visibility,project_status,manual_related,views_count,likes_count,dislikes_count,comments_count,reviews_count,avg_rating,awards,external_references,created_at,updated_at
0c3be665-5d7e-453c-a0e9-3da3e8af1458,linkivo,Linkivo — Smart Link Manager,Linkivo,"Discover, Manage, and Explore Links with Intelligence","A progressive web app for intelligent link management with weighted discovery system, GSAP animations, and Firebase backend.","Linkivo is a sophisticated smart link management Progressive Web Application built with modern web technologies. The application features a Firebase-backed architecture with real-time database integration, custom client-side routing implemented in vanilla JavaScript, and advanced UI animations powered by GSAP. Features include a cinematic splash screen with narrative animation (link cards converging into a padlock), weighted point system for random link discovery, secure PIN-based authentication with DOM-hiding protection, and a comprehensive sidebar system with logo-as-toggle functionality. The app implements intelligent caching, duplicate prevention, and a multi-layered website preview fallback system supporting iframe, OG thumbnails, screenshot API, and favicon extraction.",,[],Private GitHub repo. Most advanced active project. Demonstrates mastery of Vanilla JS + Firebase + GSAP.,[],,,[],,,,,,,[],"{""pwa"",""firebase"",""gsap"",""vanilla-js"",""pin-authentication"",""weighted-algorithm"",""link-management"",""spa"",""dark-theme"",""progressive-web-app"",""firebase-auth"",""firebase-rtdb""}",PWA,PWA,web,"{""Vanilla JavaScript"",""GSAP"",""Firebase Auth"",""Firebase RTDB"",""LocalStorage"",""IndexedDB"",""Screenshot API""}","{""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,advanced,v1.4.5,2024,Ongoing,2024 Early: Initial development. v1.0-v1.2: Core link CRUD + Firebase. v1.3: GSAP cinematic splash screen. v1.4: Weighted discovery algorithm. v1.4.5 (Apr 2026): PIN-lock security + cache invalidation fixes.,,1,,,,True,1,1,True,Active Dev,false,false,false,true,#6366F1,Linkivo — Smart Link Manager PWA | Muhtasim Rahman,"Linkivo is an advanced PWA for intelligent link management with GSAP cinematic animations, Firebase auth, weighted discovery algorithm, and multi-layered website preview system.","linkivo, smart link manager, pwa, firebase, gsap, link management, progressive web app, vanilla javascript",published,public,active,"{""qr-prism"",""project-exporter-pro""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
d7486788-7abf-4ee7-9498-6f812188de09,qr-prism,QR Prism,QR Prism,"Generate, Scan, and Manage QR Codes with Professional Features","Feature-rich Progressive Web App for generating, scanning, and managing QR codes with batch processing, cloud storage, and admin panel.","QR Prism is a comprehensive QR code solution built as a Progressive Web Application. Supports multiple QR generation types (text, URL, vCard, WiFi), batch processing from CSV/TXT/JSON files with ZIP export, built-in camera scanner with overlay UI, and Firebase-backed user profiles with ImgBB image upload. Implements three-tier Service Worker caching (Cache-First, Network-First, Stale-While-Revalidate) for offline support. Admin panel uses SHA-256 hashing with Firebase DB role verification. Architecture evolved from Canvas rendering (v2.7) to SVG-based rendering (v3.4) for improved performance.",,[],Completed v3.4. Canvas→SVG migration improved rendering performance. Good showcase of PWA + Firebase architecture.,[],,,[],,https://github.com/muhtasim-rahman/qr-prism,https://muhtasim-rahman.github.io/qr-prism,,,,[],"{""qr-code"",""pwa"",""firebase"",""batch-processing"",""camera-scanner"",""service-worker"",""sha256"",""offline-first"",""jszip"",""svg-rendering"",""firebase-auth"",""progressive-web-app""}",PWA,PWA,web,"{""Vanilla JavaScript"",""Firebase Auth"",""Firebase RTDB"",""JSZip"",""ImgBB API"",""Service Worker"",""SVG"",""HTML5"",""CSS3""}","{""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,intermediate,v3.4,2023,1 year,"2023: v2.7 Canvas-based rendering. v2.8: Architecture improvements. v3.1: Major feature additions. v3.3: SVG migration begins. 2024 v3.4: Final — SHA-256 admin security redesign, full SVG rendering.",,1,,,,True,2,2,False,,false,false,false,true,#6366F1,QR Prism — Advanced QR Code PWA | Muhtasim Rahman,"QR Prism is a full-featured QR code PWA with generation, scanning, batch CSV processing, ZIP export, Firebase cloud storage, and secure admin panel.","qr prism, qr code generator, qr scanner, pwa, batch qr code, firebase qr, javascript qr code app",published,public,active,"{""linkivo"",""notification-panel""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
3c947f1b-f42e-4766-996d-5614ba363d87,project-exporter-pro,Project Exporter Pro,Exporter Pro,Universal Export Engine for Web Applications,"Self-contained JavaScript export engine supporting PNG, JPG, WebP, SVG, PDF, and CMYK with Shadow DOM isolation. Zero external dependencies.","Project Exporter Pro is an open-source, self-contained JavaScript export engine designed to handle multiple output formats including PNG, JPG, WebP, SVG, PDF, and CMYK color space exports. Built as a standalone component using Shadow DOM isolation for encapsulation, it embeds into any web project without style conflicts. Provides a clean programmatic API with quality controls, format-specific optimizations, and batch processing capabilities. Includes a live README documentation modal built into the interface. Zero external dependencies beyond core browser APIs.",,[],Open-source on GitHub. Demonstrates Shadow DOM / Web Components knowledge. Good for developer community showcase.,[],,,[],,https://github.com/muhtasim-rahman/exporter-pro,https://muhtasim-rahman.github.io/exporter-pro,,,,[],"{""javascript-library"",""export-engine"",""shadow-dom"",""open-source"",""zero-dependency"",""png-export"",""pdf-export"",""svg-export"",""canvas-api"",""web-components"",""cmyk""}",Dev Tool,Library,web,"{""Vanilla JavaScript"",""Shadow DOM"",""Canvas API"",""Web Components"",""HTML5"",""CSS3""}","{""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,advanced,v1.0+,2024,2 months,2024: v1.0 initial release. Published on GitHub as open-source. Active maintenance.,,1,,,,True,5,5,True,Open Source,false,false,false,true,#A855F7,Project Exporter Pro — JS Export Library | Muhtasim Rahman,"Open-source JavaScript export engine with Shadow DOM isolation. Supports PNG, JPG, WebP, SVG, PDF, CMYK. Zero dependencies, plug-and-play API.","project exporter pro, javascript export library, png export, pdf export, svg export, shadow dom, canvas export, open source",published,public,completed,"{""linkivo"",""qr-prism""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
29adafbe-9cc9-4672-a8da-f32ec07789b7,ufmt-ssc26,FMT Tracker — SSC-26,UFMT-SSC26,Track Your Academic Journey with Precision,"Smart merit tracking dashboard for SSC-26 students powered by Google Sheets — track exam ranks, positions, and academic performance in real time.","Udvash FMT Tracker (SSC-26) is a powerful web application for tracking merit positions and ranks across various examinations, powered by Google Sheets as a live database. Built specifically for the SSC-26 batch at Saidpur Government Science College, it provides real-time data synchronization, student ranking visualization, and performance analytics. The use of Google Sheets eliminates the need for complex backend infrastructure while providing easy data management. Demonstrates practical problem-solving: creating tools that benefit fellow students and the school community.",,[],Community project built for SSC-26 batch at SGSC. Uses Google Sheets — no backend needed. Good real-world impact story.,[],,,[],,https://github.com/muhtasim-rahman/UFMT-SSC26,https://muhtasim-rahman.github.io/UFMT-SSC26/,,,,[],"{""education"",""exam-tracker"",""google-sheets"",""real-time-data"",""student-tracker"",""bangladesh"",""ranking-system"",""merit-position"",""javascript"",""responsive""}",Education,Web App,web,"{""Vanilla JavaScript"",""Google Sheets API v4"",""HTML5"",""CSS3"",""GitHub Pages""}","{""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,intermediate,,2024,3 months,2024: Developed specifically for SSC-26 batch. Active during exam season. Community-driven maintenance.,,1,,,,True,3,3,False,,false,false,false,true,#F59E0B,UFMT SSC-26 Merit Tracker | Muhtasim Rahman,Udvash FMT Tracker for SSC-26 students. Track merit positions and exam ranks in real time using Google Sheets as database.,"ufmt ssc26, udvash fmt tracker, merit tracker, ssc 2026, google sheets tracker, exam rank tracker, bangladesh education",published,public,active,"{""notification-panel"",""study-with-muhtasim""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
c846c36f-e243-47fd-82af-e9dbbf0c174c,notification-panel,Notification Panel,Notif Panel,Elegant Notifications Powered by Google Sheets,"Dynamic Google Sheets-powered notification widget with read/unread tracking, filters, and local storage persistence. Drop-in for any website.","The Functional Notification Panel is a sophisticated web component for real-time notification management. Powered by Google Sheets as a backend — easy content management with no server. Features interactive read/unread and important/unimportant controls, all state persisted in browser LocalStorage. Supports filter views (All, Unread, Important) and batch actions. Smooth CSS animations. Embeds into any website as a drop-in component. Perfect for announcements, system notifications, or content updates without technical backend complexity.",,[],Drop-in UI component. Good for clients who need notifications without backend. Demonstrates reusable component design.,[],,,[],,https://github.com/muhtasim-rahman/notification-panel,https://muhtasim-rahman.github.io/notification-panel/,,,,[],"{""web-component"",""google-sheets"",""local-storage"",""notification-system"",""embeddable"",""vanilla-js"",""open-source"",""drop-in"",""ui-widget"",""javascript""}",UI Component,UI Component,web,"{""Vanilla JavaScript"",""Google Sheets API"",""LocalStorage"",""CSS Animations"",""HTML5""}","{""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,intermediate,,2024,6 weeks,2024: Developed as a reusable community tool. Published on GitHub Pages for live demo.,,1,,,,True,4,4,False,,false,false,false,true,#EC4899,Notification Panel — Google Sheets UI Widget | Muhtasim Rahman,"Functional notification panel powered by Google Sheets. Features read/unread tracking, filters, and local storage. Drop-in embed for any website.","notification panel, google sheets notification, javascript widget, web component, embeddable notification, read unread tracker",published,public,completed,"{""project-exporter-pro"",""ufmt-ssc26""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
5fe2e64a-3114-4b7c-af7b-a08b69741eaa,sgsc-web-campus,SGSC Web Campus,SGSC Campus,Digital Hub for Academic Excellence and Student Life,Institutional website and digital campus portal for Saidpur Government Science College built on Odoo with custom Python modules.,"SGSC Web Campus is a comprehensive institutional website developed for Saidpur Government Science College, created as a free service by Turzo as a student of the institution. The website serves as the primary online presence for the college, with special emphasis on showcasing four newly established clubs. Implements a complete institutional portal: college information, club activities, event management, and student resources. Built on the Odoo platform with custom Python modules, providing robust CMS capabilities. The project modernizes the college's digital presence and creates a centralized hub for student activities.",,[],Free community service for SGSC. Uses Odoo CMS. Team size 2 (solo dev but involved one other for content). Real-world impact.,[],,,[],,,,,https://sgscollegehighschool.edu.bd/,,[],"{""institutional-website"",""odoo"",""college-portal"",""club-management"",""python"",""postgresql"",""cms"",""student-portal"",""bangladesh-education"",""community-project""}",Institutional,Website,web,"{""Odoo CMS"",""Python"",""PostgreSQL"",""JavaScript"",""HTML5"",""CSS3"",""Odoo Web Framework""}","{""Python"",""JavaScript"",""HTML5"",""CSS3"",""XML""}",{},{},,,,intermediate,,2024,4 months,2024: Developed as free service for SGSC. Ongoing maintenance and content updates. Club management added mid-development.,,2,,,,False,0,6,False,,false,false,false,true,#0EA5E9,SGSC Web Campus — Institutional Portal | Muhtasim Rahman,"Official digital campus portal for Saidpur Government Science College. Built on Odoo with custom Python modules, student portal, and institutional pages.","sgsc web campus, saidpur science college, odoo college website, institutional portal, bangladesh college website",published,public,completed,"{""portfolio-v1"",""ufmt-ssc26""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
9a791328-1a16-4983-a456-729e04ab1112,portfolio-v2,Portfolio v2 — mdturzo.web.app,Portfolio v2,The Site You Are On Right Now,"Current personal portfolio website built with React 18, Vite, Tailwind, Framer Motion, Supabase, and Firebase. The site you're on right now.","Portfolio v2 is the current professional portfolio and website for Muhtasim Rahman (Turzo). Built with a modern React 18 + Vite stack, featuring Tailwind CSS for styling, Framer Motion for animations, Supabase for project/blog/user data, and Firebase for authentication and RTDB. Features dark/light theming, full blog/post system, user authentication with profiles, admin panel, comment/like/report system, SEO optimization, PWA support, and analytics. This is the very website you're viewing right now.",,[],This is the live portfolio itself. Keep content accurate and updated. Changelog should reflect all major releases.,"[{""version"": ""v2.4.1"", ""date"": ""2026-05-31"", ""changes"": ""New columns: tech_stack, year_built, complexity, accent, screenshots, og_image_url. ProjectCard full redesign. ImageViewer. Advanced share section.""}, {""version"": ""v2.4.0"", ""date"": ""2026-05-30"", ""changes"": ""Like/Dislike system. Comment section. Report button. Supabase RPC views.""}, {""version"": ""v2.0.0"", ""date"": ""2024"", ""changes"": ""Initial launch with React 18 + Supabase + Firebase.""}]",,,[],,https://github.com/muhtasim-rahman/mdturzo,https://mdturzo.web.app,,,,"[{""label"": ""Firebase Hosting"", ""url"": ""https://mdturzo.web.app"", ""icon"": ""fa-fire""}]","{""portfolio"",""react"",""vite"",""tailwind"",""framer-motion"",""supabase"",""firebase"",""pwa"",""full-stack"",""seo"",""dark-theme""}",Portfolio,Portfolio,web,"{""React 18"",""Vite"",""Tailwind CSS"",""Framer Motion"",""Supabase"",""Firebase Auth"",""Firebase RTDB"",""Firebase Hosting"",""TipTap Editor"",""React Router v6""}","{""JavaScript"",""JSX"",""HTML5"",""CSS3""}",{},{},,,,advanced,v2.4.1,2024,Ongoing,"2024: v2.0.0 initial launch. v2.4.0: Advanced project system + like/comment. v2.4.1 (May 2026): New columns, ProjectCard redesign, ImageViewer, share section.",,1,,,,False,0,7,True,This Website,false,false,false,true,#8B5CF6,Portfolio v2 — Muhtasim Rahman's Website,"Personal portfolio website built with React 18, Vite, Tailwind CSS, Framer Motion, Supabase, and Firebase. Showcasing projects, skills, and contact.","muhtasim rahman portfolio, mdturzo, react portfolio, vite tailwind portfolio, supabase portfolio, web developer bangladesh",published,public,active,"{""portfolio-v1"",""portfolio-2023""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
4898d118-210c-4e08-b600-c1a00ad0a90e,halal,Halal — World of Muslims,Halal,The World of Muslim — Islamic Resources and Content,"Interactive Islamic educational resource covering the Five Pillars of Islam with rich visuals, Arabic text, and responsive design.","Halal is a dedicated website project for collecting, organizing, and sharing Islamic content and educational resources. The project reflects Turzo's Islamic values and commitment to creating beneficial online content. Features comprehensive coverage of the Five Pillars of Islam with rich visuals, Arabic text integration, and organized content sections for easy navigation. Built with HTML/CSS/JavaScript on GitHub Pages, the site is responsive and accessible. Includes a downloadable PDF version. Demonstrates integration of personal values with professional web development skills.",,[],Personal Islamic values project. Good community resource. PDF available on Google Drive.,[],,,[],,https://github.com/muhtasim-rahman/halal,https://muhtasim-rahman.github.io/halal,https://drive.google.com/file/d/1gODNtJVruqN6vwbHEy7HlkBSngl_f7jN/view?usp=drive_link,,,[],"{""islamic"",""education"",""five-pillars"",""arabic-text"",""religious-content"",""html-css"",""responsive"",""github-pages"",""muslim"",""cultural""}",Islamic,Web App,web,"{""HTML5"",""CSS3"",""JavaScript"",""GitHub Pages"",""Google Fonts""}","{""HTML5"",""CSS3"",""JavaScript""}",{},{},,,,intermediate,,2024,6 weeks,2024: Developed as personal Islamic resource project. Active content additions.,,1,,,,True,6,8,False,,false,false,false,true,#06B6D4,Halal — World of Muslims | Islamic Resource,"Interactive Islamic educational website about the Five Pillars of Islam. Features rich visuals, Arabic text, and comprehensive content for Muslims worldwide.","halal world of muslims, islamic education, five pillars of islam, muslim resources, islamic website, arabic text",published,public,completed,"{""iftar-mahfil-banner"",""ufmt-ssc26""}",2,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:11:33.096618+00
18582a4c-9f35-44f8-a0dd-fa517d73d40c,github-profile,GitHub Profile README,GH Profile,Let's Know About Me...✌,"Highly customized GitHub profile README with dynamic stats, contribution graphs, skill badges, and animated sections.","A comprehensive GitHub profile README serving as a digital introduction to Turzo's work. Features a custom banner, detailed About Me section with educational background, skills assessment with star ratings for HTML/CSS/JS/Python/Java/Git, language proficiency indicators (Bangla/English/Hindi), and embedded GitHub statistics. Includes social media icon links, and offers a downloadable PDF version. The profile serves as the first impression for GitHub visitors and potential collaborators.",,[],GitHub profile README. Regularly maintained. PDF available on Google Drive.,[],,,[],,https://github.com/muhtasim-rahman,https://github.com/muhtasim-rahman,https://drive.google.com/file/d/1JB6aLx4gvJx-KGiLdnJFtGwjX3FgEvGM/view?usp=drive_link,,,[],"{""github-readme"",""markdown"",""developer-profile"",""github-stats"",""skills-showcase"",""personal-branding"",""github-actions""}",Dev Tool,README,web,"{""Markdown"",""GitHub Stats API"",""GitHub Actions"",""GitHub Pages""}","{""Markdown"",""HTML""}",{},{},,,,beginner,,2024,1 week,2024: Created and published. Regularly updated with new skills and projects.,,1,,,,False,0,9,False,,false,false,false,true,#A855F7,GitHub Profile README | Muhtasim Rahman,"Customized GitHub profile README with dynamic stats, contribution graphs, animated skill badges, and GitHub Actions for auto-updates.","muhtasim rahman github, github profile readme, github stats, developer profile readme, muhtasim-rahman",published,public,beta,"{""portfolio-v2"",""portfolio-v1""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
1f2c846c-3a36-43ac-9f67-ecd2373e1e2f,portfolio-v1,Portfolio v1 — Odoo,Portfolio v1,Transforming Ideas into Digital Excellence,"First professional portfolio built on Odoo framework with custom Python modules, deployed on Odoo.com. (Legacy — superseded by v2)","The original professional portfolio website on the Odoo platform. Features comprehensive project gallery, service offerings (Website Design, Video Editing, Logo Design, Photo Editing), integrated eLearning/Course platform, educational qualifications timeline, skills rating system, and work experience showcase. Includes photo/video galleries, notification panel system, contact forms, and social media integration. Superseded by the React-based Portfolio v2 but preserved as a historical reference of portfolio evolution.",,[],Legacy Odoo portfolio. Preserved for historical reference. Currently live at mdturzo.odoo.com.,[],,,[],,,https://mdturzo.odoo.com,,,,[],"{""portfolio"",""odoo"",""python"",""elearning"",""service-showcase"",""cms"",""postgresql"",""legacy""}",Portfolio,Portfolio,web,"{""Odoo CMS"",""Python"",""PostgreSQL"",""JavaScript"",""HTML5"",""CSS3"",""Odoo Cloud""}","{""Python"",""JavaScript"",""HTML5"",""CSS3""}",{},{},,,,intermediate,,2023,2 months,"2023: Initial launch on mdturzo.odoo.com (previously turzo.odoo.com, discontinued). 2024: Superseded by React Portfolio v2.",,1,,,,False,0,14,False,,false,false,false,true,#8B5CF6,Portfolio v1 — Muhtasim Rahman (Odoo),First personal portfolio built on Odoo framework. Legacy version superseded by the current React-based portfolio.,"portfolio v1, odoo portfolio, muhtasim rahman portfolio, mdturzo odoo, legacy portfolio",published,public,completed,"{""portfolio-v2"",""portfolio-2023""}",0,0,0,0,0,0.00,[],[],2026-05-31 18:06:03.636663+00,2026-05-31 18:06:03.636663+00
