"slug","title","short_description","thumbnail_url","github_link","live_link","pdf_link","custom_link","tags","category","content","status","visibility","is_featured","featured_order","seo_title","seo_description","views_count","likes_count","dislikes_count","comments_count","created_at"
"linkivo","Linkivo — Smart Link Management PWA","A progressive web app for intelligent link management with a weighted discovery system and cinematic GSAP animations.","https://i.ibb.co.com/tM0hm78r/linkivo.webp","","","","","{PWA,Firebase,GSAP,JavaScript,Link-Management,SPA,Vanilla-JS}","PWA","<h2>About This Project</h2>
<p>Linkivo is my most advanced active project — a sophisticated Progressive Web Application for intelligent link management. It features a Firebase-backed architecture, a custom client-side router built in Vanilla JavaScript, and cinematic animations powered by GSAP.</p>
<p>The latest version (v1.4.5) introduces a cinematic splash screen where link cards converge into an auto-locking padlock, complete with particle burst effects and dynamic logo assembly. The app implements a <strong>weighted point system</strong> for random link discovery — the more points assigned to a link, the higher its chance of being surfaced.</p>
<h2>Key Features</h2>
<ul>
  <li>Cinematic GSAP-powered splash screen with narrative animation sequence</li>
  <li>Firebase Authentication &amp; Realtime Database integration</li>
  <li>Custom client-side SPA router (no framework)</li>
  <li>Weighted point system for intelligent random link discovery</li>
  <li>Secure PIN lock with DOM-hiding protection (<code>visibility:hidden</code> + <code>inert</code>)</li>
  <li>Multi-layered website preview: iframe → OG image → screenshot API → favicon</li>
  <li>Advanced caching with invalidation strategies</li>
  <li>Duplicate link prevention &amp; safe delete ordering</li>
  <li>Responsive sidebar with logo-as-toggle behavior</li>
  <li>SVG logo with blue-to-cyan gradient variants</li>
</ul>
<h2>Tech Stack</h2>
<p><strong>Frontend:</strong> Vanilla JavaScript, HTML5, CSS3 | <strong>Database:</strong> Firebase Realtime Database | <strong>Auth:</strong> Firebase Auth | <strong>Animation:</strong> GSAP (GreenSock) | <strong>Storage:</strong> LocalStorage, IndexedDB | <strong>APIs:</strong> Screenshot APIs, OG scraping</p>
<h2>Version History</h2>
<p>Started early 2024. Current version: <strong>v1.4.5</strong> (April 2026). Ongoing active development with multiple architectural iterations including cache invalidation fixes, dangerous delete-order corrections, and duplicate function consolidation.</p>","published","public","true","1","Linkivo — Smart Link Management PWA | Muhtasim Rahman","Linkivo is a sophisticated Progressive Web App for intelligent link management. Features Firebase backend, GSAP animations, PIN auth, and a weighted discovery algorithm.","0","0","0","0","2024-01-15 00:00:00+00"
"qr-prism","QR Prism — Advanced QR Code Generator & Scanner","A feature-rich PWA for generating, scanning, and batch-processing QR codes with cloud storage and offline support.","https://i.ibb.co.com/ch7JtRKQ/qr-prism.webp","https://github.com/muhtasim-rahman/qr-prism","https://muhtasim-rahman.github.io/qr-prism","","","{PWA,QR-Code,Firebase,Batch-Processing,Scanner,Service-Worker,Open-Source}","PWA","<h2>About This Project</h2>
<p>QR Prism is a comprehensive QR code solution built as a Progressive Web Application. It covers generation, scanning, batch processing, and cloud management in a single polished app. The project evolved significantly from v2.7 (Canvas rendering) to v3.4 (SVG-based rendering) with major security and architecture improvements along the way.</p>
<h2>Key Features</h2>
<ul>
  <li>Multiple QR generation modes: text, URL, contact card, WiFi</li>
  <li>Batch generation from CSV / TXT / JSON files with drag-and-drop</li>
  <li>ZIP export for batch-generated QR codes (JSZip)</li>
  <li>Built-in camera scanner with CSS overlay &amp; type-based action buttons</li>
  <li>Profile management with image upload via ImgBB API</li>
  <li>Messenger-style report/feedback system</li>
  <li>Three-tier Service Worker caching (Cache-First, Network-First, Stale-While-Revalidate)</li>
  <li>Secure admin panel with SHA-256 authentication</li>
  <li>Firebase role-based access control (<code>admins/{uid}: true</code>)</li>
  <li>Canvas → SVG rendering migration for better scalability</li>
</ul>
<h2>Version Timeline</h2>
<ul>
  <li><strong>v2.7:</strong> Initial Canvas-based rendering</li>
  <li><strong>v3.1:</strong> Major feature additions (batch, scanner)</li>
  <li><strong>v3.3:</strong> SVG migration begins</li>
  <li><strong>v3.4:</strong> Final — admin security fully server-side (2024)</li>
</ul>
<h2>Tech Stack</h2>
<p><strong>Frontend:</strong> Vanilla JavaScript, HTML5, Modular CSS | <strong>Database:</strong> Firebase Realtime Database | <strong>Auth:</strong> Firebase Auth + SHA-256 | <strong>APIs:</strong> ImgBB, Google Charts (QR) | <strong>Libraries:</strong> JSZip | <strong>Rendering:</strong> SVG (migrated from Canvas)</p>","published","public","true","2","QR Prism — QR Code Generator & Scanner PWA | Muhtasim Rahman","QR Prism is a comprehensive PWA for QR code generation, scanning, batch processing from CSV/JSON, ZIP export, and Firebase-backed cloud storage.","0","0","0","0","2023-09-01 00:00:00+00"
"project-exporter-pro","Project Exporter Pro — Universal Export Engine","A self-contained JavaScript export engine with Shadow DOM isolation supporting PNG, JPG, WebP, SVG, PDF, and CMYK exports.","https://i.ibb.co.com/4wQy7GTc/project-exporter-pro.webp","https://github.com/muhtasim-rahman/exporter-pro","https://muhtasim-rahman.github.io/exporter-pro","","","{JavaScript,Library,Open-Source,Shadow-DOM,Export,PDF,Canvas}","Dev Tool","<h2>About This Project</h2>
<p>Project Exporter Pro is an open-source, self-contained JavaScript export engine I built for the developer community. It handles multiple output formats — PNG, JPG, WebP, SVG, PDF, and CMYK — and is architected as a Shadow DOM Web Component, meaning it can be dropped into any existing project without style conflicts.</p>
<h2>Why Shadow DOM?</h2>
<p>Most export libraries either pollute the global stylesheet or require careful CSS isolation. By encapsulating the entire engine inside a Shadow DOM, Exporter Pro guarantees zero conflicts with the host application regardless of its CSS framework or custom styles.</p>
<h2>Key Features</h2>
<ul>
  <li>Multi-format export: PNG, JPG, WebP, SVG, PDF, CMYK</li>
  <li>Shadow DOM encapsulation — zero style conflicts</li>
  <li>Fully self-contained, no external runtime dependencies</li>
  <li>Built-in live README documentation modal</li>
  <li>Clean programmatic API for integration</li>
  <li>Quality control options per format</li>
  <li>Batch export capabilities</li>
  <li>Browser-native file download</li>
</ul>
<h2>Tech Stack</h2>
<p><strong>Language:</strong> Vanilla JavaScript, HTML5, CSS3 | <strong>Architecture:</strong> Shadow DOM, Web Components | <strong>Rendering:</strong> Canvas API | <strong>Export:</strong> Native browser APIs | <strong>Published:</strong> GitHub (open source)</p>","published","public","true","3","Project Exporter Pro — Universal JS Export Engine | Muhtasim Rahman","Open-source JavaScript export engine with Shadow DOM isolation. Supports PNG, JPG, WebP, SVG, PDF, CMYK. Drop-in for any web project with zero style conflicts.","0","0","0","0","2024-03-01 00:00:00+00"
"ufmt-ssc26","UFMT-SSC26 — Udvash FMT Merit Tracker","A web app for tracking merit positions and exam ranks for SSC-26 students at Saidpur Govt. Science College, powered by Google Sheets.","https://i.ibb.co.com/2YqYxGHz/ufmt-ssc26.webp","https://github.com/muhtasim-rahman/UFMT-SSC26","https://muhtasim-rahman.github.io/UFMT-SSC26","","","{Education,Google-Sheets,Tracking,Student,JavaScript,Data-Visualization,Bangladesh}","Education","<h2>About This Project</h2>
<p>UFMT-SSC26 (Udvash FMT Tracker for SSC Batch 2026) is a web application I built specifically for my batch at Saidpur Government Science College. It tracks merit positions and exam rankings across Udvash FMT (Foundation Merit Test) examinations.</p>
<p>By using Google Sheets as the database, updating the data is as simple as editing a spreadsheet — no server, no backend, no deployment required every time results come in.</p>
<h2>Key Features</h2>
<ul>
  <li>Real-time data sync from Google Sheets API</li>
  <li>Merit position &amp; rank tracking across multiple exams</li>
  <li>Student performance analytics dashboard</li>
  <li>Batch-specific tracking (SSC-26, SGSC)</li>
  <li>Responsive design for mobile and desktop</li>
  <li>Fast loading with API caching</li>
  <li>Easy data updates through Google Sheets</li>
</ul>
<h2>Why I Built This</h2>
<p>SSC-26 batch students needed a quick way to check their merit standing after each FMT exam. The school had no system for this, so I built one. It's actively used by my classmates during the exam season.</p>
<h2>Tech Stack</h2>
<p><strong>Frontend:</strong> Vanilla JavaScript, HTML5, CSS3 | <strong>Database:</strong> Google Sheets API v4 | <strong>Hosting:</strong> GitHub Pages | <strong>Visualization:</strong> Custom JS charts</p>","published","public","true","4","UFMT-SSC26 — FMT Merit Tracker | Muhtasim Rahman","Web app for tracking Udvash FMT merit positions for SSC-26 students. Uses Google Sheets as database for easy real-time updates.","0","0","0","0","2024-06-01 00:00:00+00"
"notification-panel","Functional Notification Panel — Google Sheets Powered","A dynamic, embeddable notification panel powered by Google Sheets with read/unread tracking, filters, and LocalStorage persistence.","https://i.ibb.co.com/cSRDz09h/functional-notification-panel.webp","https://github.com/muhtasim-rahman/notification-panel","https://muhtasim-rahman.github.io/notification-panel/","","","{UI-Component,Google-Sheets,JavaScript,Real-time,LocalStorage,Widget,Open-Source}","UI Component","<h2>About This Project</h2>
<p>The Functional Notification Panel is a drop-in web component for adding real-time notifications to any website. The content is managed through Google Sheets — no server setup needed, making it perfect for clients or projects that need easy content management without technical complexity.</p>
<h2>Key Features</h2>
<ul>
  <li>Google Sheets as backend — update content without touching code</li>
  <li>Real-time data fetching on load</li>
  <li>Read / Unread status with LocalStorage persistence</li>
  <li>Mark as Important toggle</li>
  <li>Filter views: All, Unread, Important</li>
  <li>Batch actions: Mark All as Read / Unimportant</li>
  <li>Report / Feedback mechanism</li>
  <li>Smooth CSS animations and transitions</li>
  <li>Fully responsive — works on all screen sizes</li>
  <li>Lightweight — no framework dependencies</li>
</ul>
<h2>Use Cases</h2>
<p>This panel is ideal for school/college websites, personal dashboards, or any project where the owner wants to push announcements without a complex CMS. The Google Sheets backend means even non-technical users can manage the notifications.</p>
<h2>Tech Stack</h2>
<p><strong>Language:</strong> Vanilla JavaScript, HTML5, CSS3 | <strong>Data Source:</strong> Google Sheets API | <strong>Storage:</strong> Browser LocalStorage | <strong>Animations:</strong> CSS transitions | <strong>Hosting:</strong> GitHub Pages</p>","published","public","true","5","Notification Panel — Google Sheets Powered Widget | Muhtasim Rahman","Embeddable notification panel component. Powered by Google Sheets for easy content management. Read/unread tracking, filters, local storage persistence.","0","0","0","0","2024-02-01 00:00:00+00"
"sgsc-web-campus","SGSC Web Campus — Saidpur Govt. Science College","Official institutional website for Saidpur Government Science College, featuring club management, events, and student resources. Built free as a community contribution.","https://i.ibb.co.com/G475zMXm/sgsc-web-campus.webp","","https://sgsc.odoo.com","","","{Institution,Odoo,College-Website,Education,Bangladesh,Club-Management,Community}","Institution","<h2>About This Project</h2>
<p>SGSC Web Campus is the official institutional website I built for Saidpur Government Science College — my own school. I developed and maintain it entirely as a free service to my institution, as a way to give back to the community that educated me.</p>
<p>The site serves as the primary digital presence for the college, with special focus on the four newly established student clubs that are a vital part of campus life.</p>
<h2>Key Features</h2>
<ul>
  <li>Complete institutional information portal</li>
  <li>Four club management systems (activities, members, events)</li>
  <li>Event calendar and announcements</li>
  <li>Student resources section</li>
  <li>News and updates</li>
  <li>Gallery and media management</li>
  <li>Contact and inquiry system</li>
  <li>Admin panel for college staff</li>
  <li>Mobile-responsive Odoo CMS</li>
  <li>Professional institutional branding</li>
</ul>
<h2>My Contribution</h2>
<p>I am the sole developer of this project. I designed, built, and continue to maintain this website as a community contribution. This project represents real-world web development applied to an institution with actual users and stakeholders.</p>
<h2>Tech Stack</h2>
<p><strong>Platform:</strong> Odoo CMS | <strong>Backend:</strong> Python (Odoo Framework) | <strong>Frontend:</strong> JavaScript, HTML5, CSS3 | <strong>Database:</strong> PostgreSQL | <strong>Hosting:</strong> Odoo Cloud</p>","published","public","true","6","SGSC Web Campus — Saidpur Govt. Science College Website | Muhtasim Rahman","Official website for Saidpur Government Science College built by student Muhtasim Rahman. Features club management, events, and student resources on Odoo CMS.","0","0","0","0","2024-04-01 00:00:00+00"
"mdturzo-portfolio","mdturzo.odoo.com — Professional Portfolio Website","Current professional portfolio on Odoo platform showcasing web development and editing services, with project gallery, skills, eLearning, and contact.","https://i.ibb.co.com/TD52cd87/image-6.webp","","https://mdturzo.odoo.com","","","{Portfolio,Odoo,Professional,Responsive,Services,eLearning}","Portfolio","<h2>About This Project</h2>
<p>This is my primary professional portfolio hosted on the Odoo platform at <a href=""https://mdturzo.odoo.com"" target=""_blank"">mdturzo.odoo.com</a>. It replaced the earlier turzo.odoo.com version and serves as my main online presence for clients and collaborators. (Note: This site will eventually redirect to the new <strong>mdturzo.web.app</strong> Firebase/React portfolio currently in development.)</p>
<h2>Key Sections</h2>
<ul>
  <li>Comprehensive project gallery with previews</li>
  <li>Service offerings: Website Design, Video Editing, Logo Design, Photo Editing</li>
  <li>Integrated eLearning / Course platform</li>
  <li>Educational qualifications timeline</li>
  <li>Skills rating system</li>
  <li>Work experience showcase</li>
  <li>Custom notification panel system</li>
  <li>Photo and video galleries</li>
  <li>Contact form integration</li>
  <li>Privacy policy &amp; cookie policy pages</li>
</ul>
<h2>Tech Stack</h2>
<p><strong>Platform:</strong> Odoo CMS | <strong>Backend:</strong> Python (Odoo) | <strong>Frontend:</strong> JavaScript, HTML5, CSS3 | <strong>Database:</strong> PostgreSQL | <strong>Hosting:</strong> Odoo Cloud</p>","published","public","false","","mdturzo Portfolio — Muhtasim Rahman's Odoo Portfolio","Professional portfolio website at mdturzo.odoo.com showcasing projects, services (web design, video editing, logo design), skills, and educational background.","0","0","0","0","2024-03-15 00:00:00+00"
"turzo-odoo-legacy","turzo.odoo.com — Legacy Portfolio (Archived)","First professional portfolio website on Odoo, now discontinued. Preserved as a historical record of early-stage portfolio development.","https://i.ibb.co.com/N5zKLSD/portfolio-odoo-old.webp","","https://turzo.odoo.com","","","{Portfolio,Odoo,Legacy,Archived,Historical}","Portfolio","<h2>About This Project</h2>
<p>turzo.odoo.com was my first professional portfolio website, built on the Odoo platform in 2023. It served as my initial attempt at creating a professional online presence as a student web developer.</p>
<p>Development was discontinued in 2024 due to platform limitations, and the project was superseded by the more polished <strong>mdturzo.odoo.com</strong>. The site is preserved in view-only state as a historical archive.</p>
<h2>What It Included</h2>
<ul>
  <li>Basic project showcase</li>
  <li>Service listings (web design, editing)</li>
  <li>Contact information</li>
  <li>Educational background</li>
  <li>Skills overview</li>
</ul>
<h2>Historical Significance</h2>
<p>This project represents an important milestone — my first attempt at professional self-presentation on the web. It shows the foundation from which mdturzo.odoo.com and the current React/Firebase portfolio (mdturzo.web.app) evolved.</p>
<h2>Tech Stack</h2>
<p><strong>Platform:</strong> Odoo CMS | <strong>Backend:</strong> Python (Odoo) | <strong>Frontend:</strong> JavaScript, HTML5, CSS3 | <strong>Status:</strong> Archived, view-only</p>","published","public","false","","turzo.odoo.com — Legacy Portfolio (Archived) | Muhtasim Rahman","Muhtasim Rahman's first Odoo-based portfolio, discontinued in 2024 in favor of mdturzo.odoo.com. Preserved as a historical archive.","0","0","0","0","2023-06-01 00:00:00+00"
"github-profile-readme","GitHub Profile README — muhtasim-rahman","Comprehensive GitHub profile README with skills rating, educational timeline, language proficiencies, GitHub stats, and social media links.","https://i.ibb.co.com/3yLXFvmy/github-profile-readme.webp","https://github.com/muhtasim-rahman/muhtasim-rahman","https://github.com/muhtasim-rahman","https://drive.google.com/file/d/1JB6aLx4gvJx-KGiLdnJFtGwjX3FgEvGM/view?usp=drive_link","","{GitHub,Profile,Markdown,Skills-Showcase,Open-Source,Developer-Branding}","Portfolio","<h2>About This Project</h2>
<p>My GitHub profile README is a carefully crafted digital introduction for anyone visiting my GitHub page. It communicates my background, skills, and personality in a professional yet approachable way — acting as a first impression for potential collaborators, recruiters, and the open-source community.</p>
<h2>What's Inside</h2>
<ul>
  <li>Custom banner image and profile picture</li>
  <li>Detailed ""About Me"" section (education, goals, interests)</li>
  <li>Skills rating system (★★★★☆ format) for HTML, CSS, JS, Python, Java, Git</li>
  <li>Educational timeline from St. Geroza's (2013) to SGSC SSC-26</li>
  <li>Language proficiency: Bengali (native), English (advanced), Hindi (communicative)</li>
  <li>Hobbies and activities section</li>
  <li>GitHub statistics cards (repos, stars, streak)</li>
  <li>Social media icon integration (Facebook, Instagram, YouTube, LinkedIn, etc.)</li>
  <li>Downloadable PDF version available</li>
</ul>
<h2>Tech Stack</h2>
<p><strong>Format:</strong> GitHub-Flavored Markdown | <strong>Graphics:</strong> Custom images hosted on GitHub | <strong>Stats:</strong> github-readme-stats API | <strong>Download:</strong> Google Drive PDF</p>","published","public","false","","GitHub Profile README — muhtasim-rahman | Muhtasim Rahman","Custom GitHub profile README for muhtasim-rahman. Includes skills rating (★), educational timeline, language proficiency, GitHub stats, and social links.","0","0","0","0","2024-01-01 00:00:00+00"
"halal-the-world-of-muslim","Halal || The World of Muslim","A dedicated repository and website for collecting, organizing, and sharing Islamic content, resources, and educational materials for the Muslim community.","https://i.ibb.co.com/qYvbmsTH/halal-islamic.webp","https://github.com/muhtasim-rahman/halal","https://muhtasim-rahman.github.io/halal","https://drive.google.com/file/d/1gODNtJVruqN6vwbHEy7HlkBSngl_f7jN/view?usp=drive_link","","{Islamic,Education,HTML,GitHub-Pages,Muslim-Resources,Halal,Community}","Islamic","<h2>About This Project</h2>
<p>Halal is a project close to my heart — a dedicated website and repository for collecting, organizing, and sharing Islamic content and resources. It reflects my Islamic values and commitment to creating beneficial, halal online content that serves the Muslim community.</p>
<h2>What It Contains</h2>
<ul>
  <li>Quranic verses collection</li>
  <li>Islamic reminders and motivational quotes</li>
  <li>Educational content on Islamic principles</li>
  <li>Halal income and ethical technology resources</li>
  <li>Resources for Muslim developers and content creators</li>
  <li>Organized content categories for easy navigation</li>
  <li>Downloadable PDF version</li>
</ul>
<h2>Motivation</h2>
<p>As a Muslim developer, I believe technology should be used for beneficial purposes. This project is my contribution to the Muslim community online — a place where Islamic knowledge and modern web technology meet. The project emphasizes ethical use of technology aligned with halal principles.</p>
<h2>Tech Stack</h2>
<p><strong>Frontend:</strong> HTML5, CSS3, JavaScript | <strong>Graphics:</strong> Islamic-themed SVG illustrations | <strong>Hosting:</strong> GitHub Pages | <strong>Content:</strong> HTML, Markdown</p>","published","public","false","","Halal — The World of Muslim | Muhtasim Rahman","Islamic resource website by Muhtasim Rahman. Collects Quranic verses, Islamic reminders, halal principles, and beneficial resources for the Muslim community.","0","0","0","0","2024-05-01 00:00:00+00"
