"slug","title","short_description","thumbnail_url","github_link","live_link","pdf_link","custom_link","tags","category","content","status","visibility","is_featured","featured_order","seo_title","seo_description","views_count","likes_count","dislikes_count","comments_count","created_at","updated_at"
"linkivo","Linkivo — Smart Link Management PWA","A sophisticated PWA for intelligent link management with a weighted discovery system, cinematic GSAP animations, and Firebase backend.","https://i.ibb.co.com/tM0hm78r/linkivo.webp","","","","","{PWA,Firebase,GSAP,JavaScript,Firebase-Auth,Link-Management,Offline-First}","Web App","<h2>Overview</h2><p>Linkivo is a sophisticated Smart Link Management Progressive Web Application. Built with a Firebase backend, custom client-side routing in vanilla JavaScript, and advanced UI animations powered by GSAP, it's the most technically ambitious project in the portfolio.</p><h2>Key Features</h2><ul><li><strong>Cinematic Splash Screen</strong> — GSAP-powered animation where link cards converge from all directions into a padlock shape, the padlock auto-locks, and a particle burst explosion launches the app</li><li><strong>Weighted Discovery System</strong> — each link has a weight/priority score; the random-discovery feature uses weighted probability so important links surface more often</li><li><strong>Secure PIN Lock</strong> — DOM-hiding protection using <code>visibility:hidden</code> + <code>inert</code> attributes; PIN hashed before storage</li><li><strong>Multi-layer Website Preview</strong> — iframe → OG image meta tag → screenshot API → favicon fallback cascade</li><li><strong>Smart Caching</strong> — custom cache invalidation with versioned keys and selective refresh</li><li><strong>Responsive Sidebar</strong> — logo acts as sidebar toggle; collapses to icon-only on small screens</li><li><strong>Data Integrity</strong> — duplicate link prevention, safe delete ordering, orphan cleanup</li><li><strong>Offline Support</strong> — Service Worker caching for full offline functionality</li></ul><h2>Architecture</h2><p>Single-page application with custom hash-based router (no framework). All components built from scratch with zero UI dependencies. Firebase Realtime Database powers real-time sync across devices.</p><h2>Tech Stack</h2><p><strong>Frontend:</strong> Vanilla JavaScript ES6+, HTML5, CSS3 Custom Properties &nbsp;|&nbsp; <strong>Backend:</strong> Firebase Realtime Database &nbsp;|&nbsp; <strong>Auth:</strong> Firebase Authentication &nbsp;|&nbsp; <strong>Animation:</strong> GSAP (GreenSock) &nbsp;|&nbsp; <strong>PWA:</strong> Service Worker, Web App Manifest &nbsp;|&nbsp; <strong>Hosting:</strong> Firebase Hosting</p>","published","public","true","1","Linkivo — Smart Link Management PWA | Muhtasim Rahman","Progressive Web App for intelligent link management with weighted discovery, GSAP cinematic animations, secure PIN lock, and Firebase backend.","0","0","0","0","2024-01-15 00:00:00+00","2026-04-30 00:00:00+00"
"qr-prism","QR Prism — Advanced QR Code PWA","Feature-rich PWA for generating, scanning, and batch processing QR codes with cloud storage, offline support, and multi-admin management.","https://i.ibb.co.com/ch7JtRKQ/qr-prism.webp","https://github.com/muhtasim-rahman/qr-prism","https://muhtasim-rahman.github.io/qr-prism","","","{PWA,QR-Code,Firebase,Batch-Processing,Service-Worker,Offline-First,Camera-API,JSZip}","Utility","<h2>Overview</h2><p>QR Prism is a comprehensive QR code solution built as a Progressive Web Application. From simple single-URL generation to multi-format batch processing and cloud-synced management, it covers the full QR workflow.</p><h2>Key Features</h2><ul><li><strong>Multi-format Generation</strong> — Text, URL, vCard (contact), WiFi credentials, SMS, Email, Phone</li><li><strong>Batch Processing</strong> — Import CSV/TXT/JSON, generate QR codes for every row, export all as ZIP (JSZip)</li><li><strong>Built-in Scanner</strong> — Real-time camera scanner with overlay targeting UI; type-based auto-action (URLs open in browser, WiFi prompts connect, contacts save)</li><li><strong>Three-tier SW Caching</strong> — Cache-First for static assets, Network-First for API, Stale-While-Revalidate for images</li><li><strong>Secure Multi-admin Panel</strong> — SHA-256 password hashing + Firebase RBAC (role-based access control)</li><li><strong>Profile System</strong> — User profiles with avatar upload via ImgBB API</li><li><strong>Cloud Sync</strong> — Firebase Realtime DB for cross-device QR code library</li><li><strong>SVG Rendering</strong> — Migrated from Canvas to SVG in v3.3 for lossless export at any resolution</li></ul><h2>Version History</h2><p>v1.0 → Basic generator &nbsp;|&nbsp; v2.0 → Camera scanner added &nbsp;|&nbsp; v2.7 → Canvas rendering &nbsp;|&nbsp; v3.0 → Cloud sync &nbsp;|&nbsp; v3.3 → SVG migration &nbsp;|&nbsp; v3.4 → Admin security redesign</p><h2>Tech Stack</h2><p><strong>Frontend:</strong> Vanilla JavaScript, HTML5, CSS3 &nbsp;|&nbsp; <strong>Backend:</strong> Firebase Realtime Database &nbsp;|&nbsp; <strong>Auth:</strong> Firebase Auth + SHA-256 &nbsp;|&nbsp; <strong>Libraries:</strong> JSZip, qrcode.js &nbsp;|&nbsp; <strong>PWA:</strong> Service Worker, Web Manifest &nbsp;|&nbsp; <strong>Hosting:</strong> GitHub Pages</p>","published","public","true","2","QR Prism — Advanced QR Code Generator PWA","PWA for QR code generation, camera scanning, batch CSV processing with ZIP export, and Firebase cloud management.","0","0","0","0","2023-06-01 00:00:00+00","2025-03-01 00:00:00+00"
"exporter-pro","Project Exporter Pro","Open-source JavaScript export engine with Shadow DOM isolation. Supports PNG, JPG, WebP, SVG, PDF, and CMYK — drop into any project with zero conflicts.","https://i.ibb.co.com/4wQy7GTc/project-exporter-pro.webp","https://github.com/muhtasim-rahman/exporter-pro","https://muhtasim-rahman.github.io/exporter-pro","","","{Open-Source,JavaScript-Library,Shadow-DOM,Export-Engine,PDF,SVG,Web-Components,Canvas-API}","Dev Tool","<h2>Overview</h2><p>Project Exporter Pro is an open-source, self-contained JavaScript export engine that solves a common web developer problem: exporting DOM elements as files without style conflicts. Shadow DOM isolation means you can drop it into any existing project and it will work cleanly.</p><h2>Supported Export Formats</h2><ul><li><strong>PNG</strong> — lossless, with alpha channel support and DPI control</li><li><strong>JPG</strong> — lossy compression with quality slider (0–100)</li><li><strong>WebP</strong> — modern format with superior compression</li><li><strong>SVG</strong> — scalable vector output for sharp rendering at any size</li><li><strong>PDF</strong> — document-ready export with page size options</li><li><strong>CMYK</strong> — print-ready color space conversion for professional printing</li></ul><h2>Key Technical Features</h2><ul><li><strong>Shadow DOM Isolation</strong> — the entire engine lives in a Shadow Root; host page styles never leak in, engine styles never leak out</li><li><strong>Zero External Dependencies</strong> — no npm install required; single script include</li><li><strong>Live README Modal</strong> — built-in documentation accessible from the interface, no external docs needed</li><li><strong>Programmatic API</strong> — call <code>Exporter.export(element, options)</code> from any JS code</li><li><strong>Batch Export</strong> — queue multiple elements, export as individual files or single ZIP</li><li><strong>Canvas Pipeline</strong> — uses html2canvas under the hood with custom optimizations</li></ul><h2>Use Cases</h2><p>Certificate generators, report builders, social media card creators, design-to-file pipelines, data visualization export.</p><h2>Tech Stack</h2><p><strong>Architecture:</strong> Shadow DOM v1, Web Components &nbsp;|&nbsp; <strong>Rendering:</strong> Canvas API, html2canvas &nbsp;|&nbsp; <strong>Vector:</strong> DOM-to-SVG serialization &nbsp;|&nbsp; <strong>Hosting:</strong> GitHub Pages</p>","published","public","true","3","Project Exporter Pro — Universal JavaScript Export Engine","Open-source JS export engine with Shadow DOM isolation. PNG, JPG, SVG, PDF, CMYK. Zero style conflicts, drop into any project.","0","0","0","0","2024-03-15 00:00:00+00","2025-01-01 00:00:00+00"
"ufmt-ssc26","UFMT-SSC26 — Udvash FMT Tracker","Real-time merit position and rank tracker for SSC-26 students at SGSC, powered by Google Sheets as a live database.","https://i.ibb.co.com/2YqYxGHz/ufmt-ssc26.webp","https://github.com/muhtasim-rahman/UFMT-SSC26","https://muhtasim-rahman.github.io/UFMT-SSC26/","","","{Education,Google-Sheets-API,SSC-2026,Student-Tracker,Ranking,SGSC,Bangladesh}","Education","<h2>Overview</h2><p>Udvash FMT Tracker (UFMT-SSC26) is a web application built specifically for tracking merit positions across multiple Udvash Foundation Model Test examinations for the SSC-2026 batch at Saidpur Government Science College (SGSC).</p><p>The app uses Google Sheets as its database, allowing teachers or organizers to update exam results in a spreadsheet and have them instantly reflected on the live tracker — no backend server required.</p><h2>Key Features</h2><ul><li><strong>Live Merit Ranking</strong> — fetches latest data from Google Sheets on each visit; results update as soon as the sheet is edited</li><li><strong>Multi-exam Tracking</strong> — view position across all FMT exams in one place, with comparison charts</li><li><strong>Student Search</strong> — find any student by name or roll number instantly</li><li><strong>Rank Progression Charts</strong> — visual representation of ranking changes over multiple tests</li><li><strong>Mobile Responsive</strong> — built for students using smartphones</li><li><strong>Batch-specific</strong> — designed exclusively for SSC-26 SGSC students</li></ul><h2>Why Google Sheets?</h2><p>Teachers are already comfortable with spreadsheets. Using Sheets as a database means zero training required for the people updating data — they just edit a spreadsheet they already know.</p><h2>Tech Stack</h2><p><strong>Frontend:</strong> JavaScript, HTML5, CSS3 &nbsp;|&nbsp; <strong>Database:</strong> Google Sheets API v4 &nbsp;|&nbsp; <strong>Charts:</strong> Chart.js &nbsp;|&nbsp; <strong>Hosting:</strong> GitHub Pages</p>","published","public","true","4","UFMT-SSC26 — Udvash FMT Merit Tracker","Real-time merit position tracker for SSC-26 SGSC students. Powered by Google Sheets — live rankings across multiple FMT exams.","0","0","0","0","2024-09-01 00:00:00+00","2026-04-01 00:00:00+00"
"notification-panel","Notification Panel","Plug-and-play web component notification system powered by Google Sheets. Real-time updates, read/unread state, filters, and local storage persistence.","https://i.ibb.co.com/cSRDz09h/functional-notification-panel.webp","https://github.com/muhtasim-rahman/notification-panel","https://muhtasim-rahman.github.io/notification-panel/","","","{Open-Source,Web-Component,Google-Sheets,JavaScript,UI-Library,Embeddable,LocalStorage}","UI Component","<h2>Overview</h2><p>The Functional Notification Panel is a lightweight, fully embeddable notification management component powered by Google Sheets as a backend. Add one <code>&lt;script&gt;</code> tag to any website and get a fully functional notification bell with real-time updates.</p><h2>Key Features</h2><ul><li><strong>Google Sheets Backend</strong> — manage notifications from a spreadsheet; no coding needed to add/update notifications</li><li><strong>Read / Unread Tracking</strong> — each notification individually tracked; unread badge count on the bell icon</li><li><strong>Important Flag</strong> — mark notifications as important; filter by important only</li><li><strong>Local Storage Persistence</strong> — read/important states survive page refreshes and browser restarts</li><li><strong>Filter Views</strong> — All / Unread / Important tabs</li><li><strong>Batch Actions</strong> — Mark All Read, Mark All as Not Important</li><li><strong>Per-notification Report</strong> — users can flag problematic notifications</li><li><strong>Smooth Animations</strong> — CSS transitions on open/close, list appear effects</li><li><strong>Zero Dependencies</strong> — vanilla JS, no npm, no build step</li></ul><h2>Integration</h2><pre><code>&lt;script src=""notification-panel.js""&gt;&lt;/script&gt;
&lt;notification-panel sheet-id=""YOUR_SHEET_ID""&gt;&lt;/notification-panel&gt;</code></pre><h2>Tech Stack</h2><p><strong>Frontend:</strong> Vanilla JavaScript, HTML5, CSS3 &nbsp;|&nbsp; <strong>Data Source:</strong> Google Sheets API &nbsp;|&nbsp; <strong>Persistence:</strong> Browser LocalStorage &nbsp;|&nbsp; <strong>Hosting:</strong> GitHub Pages</p>","published","public","true","5","Notification Panel — Google Sheets Powered Web Component","Drop-in notification panel component powered by Google Sheets. Read/unread tracking, important flags, local storage persistence.","0","0","0","0","2024-06-01 00:00:00+00","2025-01-01 00:00:00+00"
"sgsc-web-campus","SGSC Web Campus","Official website for Saidpur Government Science College — institutional portal with club management, events, student resources, and gallery. Built pro bono.","https://i.ibb.co.com/G475zMXm/sgsc-web-campus.webp","","https://sgsc.odoo.com","","","{Odoo,Institutional,College-Portal,Club-Management,Bangladesh,Pro-Bono,Python,PostgreSQL}","Institutional","<h2>Overview</h2><p>SGSC Web Campus is the official website for Saidpur Government Science College (SGSC), developed as a completely pro bono contribution to the institution. It serves as the primary online presence for the college, with particular emphasis on four newly established student clubs.</p><h2>College Clubs Featured</h2><ul><li>Computer Club</li><li>Science Club</li><li>Debate Club</li><li>Cultural Club</li></ul><h2>Key Features</h2><ul><li><strong>Institutional Portal</strong> — full college information, departments, faculty profiles</li><li><strong>Club Management</strong> — dedicated sections for each of the four clubs with events, members, and activities</li><li><strong>Event Calendar</strong> — upcoming events, exam schedules, important dates</li><li><strong>Student Resources</strong> — study materials, downloads, notice board</li><li><strong>Photo Gallery</strong> — events, campus life, achievements</li><li><strong>News & Announcements</strong> — official communications from college administration</li><li><strong>Contact & Inquiry System</strong> — online contact form integrated with college email</li><li><strong>Multi-user Admin</strong> — staff accounts with role-based permissions for content management</li></ul><h2>Pro Bono Note</h2><p>This project was built as a free service to support the college community. No financial compensation was involved — it was a contribution to the institution that shaped Turzo's academic journey.</p><h2>Tech Stack</h2><p><strong>Platform:</strong> Odoo 17 CMS &nbsp;|&nbsp; <strong>Backend:</strong> Python (Odoo Framework) &nbsp;|&nbsp; <strong>Database:</strong> PostgreSQL &nbsp;|&nbsp; <strong>Hosting:</strong> Odoo Cloud (odoo.com)</p>","published","public","true","6","SGSC Web Campus — Saidpur Government Science College","Official institutional website for SGSC — club management, events, student resources, and gallery. Built pro bono on Odoo.","0","0","0","0","2024-06-15 00:00:00+00","2026-04-01 00:00:00+00"
"portfolio-mdturzo","mdturzo.web.app — New Portfolio (v2)","Current developer portfolio built with React, Vite, Supabase, and Firebase — dark-themed, animated, fully dynamic CMS-powered.","https://i.ibb.co.com/p9Hc1RR/portfolio-firebase.webp","","https://mdturzo.web.app","","","{React,Vite,Firebase,Supabase,TailwindCSS,Framer-Motion,Portfolio,GSAP}","Portfolio","<h2>Overview</h2><p>This is the new-generation portfolio — a full React application built with Vite, Supabase, and Firebase. It replaces the Odoo-based portfolio with a custom-built dark-themed, animated personal website with CMS-driven content.</p><p>You're looking at this project right now.</p><h2>Key Features</h2><ul><li><strong>React + Vite</strong> — modern build system with HMR and optimized production builds</li><li><strong>Supabase Backend</strong> — projects, blog posts, comments, likes, reports, reviews all in PostgreSQL</li><li><strong>Firebase Auth</strong> — Google OAuth sign-in, email/password, email verification</li><li><strong>Firebase RTDB</strong> — real-time notifications, presence system, live visitor tracking</li><li><strong>Cloudflare Worker</strong> — image upload proxy, email sending, reCAPTCHA verification</li><li><strong>Full Dark Theme</strong> — CSS custom properties with theme persistence in localStorage</li><li><strong>Framer Motion</strong> — page transitions, scroll animations, micro-interactions</li><li><strong>TipTap CMS</strong> — rich-text editor for blog/project content</li><li><strong>Admin Panel</strong> — role-based admin dashboard for content management</li><li><strong>PWA Ready</strong> — installable, offline-capable</li></ul><h2>Versions</h2><p>v1.0 → Static | v2.0 → Supabase backend | v2.3 → About + Feed placeholder | v2.4 → Projects page (current)</p><h2>Tech Stack</h2><p><strong>Frontend:</strong> React 18, Vite, TailwindCSS, Framer Motion &nbsp;|&nbsp; <strong>Backend:</strong> Supabase (PostgreSQL) &nbsp;|&nbsp; <strong>Auth:</strong> Firebase Authentication &nbsp;|&nbsp; <strong>Realtime:</strong> Firebase RTDB &nbsp;|&nbsp; <strong>Proxy:</strong> Cloudflare Workers &nbsp;|&nbsp; <strong>Hosting:</strong> Firebase Hosting</p>","published","public","false","","mdturzo.web.app — React Portfolio v2","New-generation developer portfolio built with React, Vite, Supabase, and Firebase. Dark themed, animated, CMS-powered.","0","0","0","0","2025-01-01 00:00:00+00","2026-05-31 00:00:00+00"
"portfolio-turzo-legacy","turzo.odoo.com — First Portfolio (Archived)","First professional portfolio built on Odoo platform. Discontinued and archived. Represents the beginning of Turzo's professional web journey.","https://i.ibb.co.com/N5zKLSD/portfolio-odoo-old.webp","","https://turzo.odoo.com","","","{Portfolio,Odoo,Archived,Legacy,First-Project,Portfolio-Evolution}","Portfolio","<h2>Overview</h2><p>The very first professional portfolio, built on the Odoo platform. Though simple by today's standards, it was a significant milestone — the first time Turzo had a professional online presence.</p><p>This site is preserved as an archive but is no longer actively maintained. It was superseded first by <a href=""https://mdturzo.odoo.com"">mdturzo.odoo.com</a> and then by the current <a href=""https://mdturzo.web.app"">mdturzo.web.app</a>.</p><h2>What Was Included</h2><ul><li>Basic project listings</li><li>Skills overview</li><li>Contact information</li><li>Simple about section</li></ul><h2>Lessons Learned</h2><p>This project taught the value of having an online presence early, even if imperfect. The limitations of the Odoo free tier motivated the move toward a custom-built solution.</p><h2>Platform</h2><p><strong>Platform:</strong> Odoo CMS (Free Tier) &nbsp;|&nbsp; <strong>Status:</strong> Archived</p>","published","public","false","","turzo.odoo.com — First Portfolio (Archived)","The first professional portfolio by Muhtasim Rahman, built on Odoo. Archived and preserved for historical reference.","0","0","0","0","2023-01-01 00:00:00+00","2024-06-01 00:00:00+00"
"github-profile-readme","GitHub Profile README","Custom GitHub profile README with animated banner, skill star ratings, education timeline, language proficiencies, and GitHub stats integration.","https://i.ibb.co.com/3yLXFvmy/github-profile-readme.webp","https://github.com/muhtasim-rahman/muhtasim-rahman","https://github.com/muhtasim-rahman","https://drive.google.com/file/d/1JB6aLx4gvJx-KGiLdnJFtGwjX3FgEvGM/view?usp=drive_link","","{GitHub,Markdown,Developer-Profile,Profile-README,Personal-Branding,GitHub-Stats}","Profile","<h2>Overview</h2><p>A fully crafted GitHub profile README that serves as a developer introduction to anyone visiting the GitHub profile. Goes beyond a simple bio to include visual skill ratings, education, and language information.</p><h2>Contents</h2><ul><li><strong>Custom Banner</strong> — designed header image with name and role</li><li><strong>Skill Ratings</strong> — star-based ratings for each skill:<br>AI Tools ★★★★★ &nbsp;|&nbsp; HTML/CSS ★★★★ &nbsp;|&nbsp; Git ★★★★ &nbsp;|&nbsp; Python ★★★ &nbsp;|&nbsp; JavaScript ★★ &nbsp;|&nbsp; Java ★★</li><li><strong>Education Timeline</strong> — St. Geroza School → Saidpur Government Science College</li><li><strong>Language Proficiencies</strong> — Bengali (Native), English (Advanced), Hindi & Urdu (Conversational)</li><li><strong>GitHub Statistics</strong> — dynamic cards from github-readme-stats API</li><li><strong>Social Icons</strong> — linked social media platform badges</li><li><strong>Downloadable PDF</strong> — offline-accessible version</li></ul><h2>Tech</h2><p><strong>Format:</strong> GitHub-Flavored Markdown &nbsp;|&nbsp; <strong>Dynamic Cards:</strong> github-readme-stats API &nbsp;|&nbsp; <strong>Design:</strong> Custom banner in Canva/Figma</p>","published","public","false","","GitHub Profile — Muhtasim Rahman (@muhtasim-rahman)","Custom GitHub profile README with skill ratings, education timeline, language proficiencies, and GitHub stats.","0","0","0","0","2024-01-01 00:00:00+00","2026-04-01 00:00:00+00"
"halal","Halal — The World of Muslim","An Islamic content repository and website dedicated to sharing Quranic resources, halal guidelines, and educational materials for the Muslim community.","https://i.ibb.co.com/qYvbmsTH/halal-islamic.webp","https://github.com/muhtasim-rahman/halal","https://muhtasim-rahman.github.io/halal","https://drive.google.com/file/d/1gODNtJVruqN6vwbHEy7HlkBSngl_f7jN/view?usp=drive_link","","{Islamic,Educational,Quran,Muslim-Resources,Halal,Community,Religious,Deen}","Islamic","<h2>Overview</h2><p>Halal — The World of Muslim is a project born from personal faith. It's a dedicated repository and website for collecting, organizing, and sharing Islamic resources in a clean, accessible format. The project reflects the belief that technical skills should be used for good — and for Turzo, that includes contributing to the Muslim community online.</p><h2>Contents</h2><ul><li><strong>Quranic Content</strong> — selected Ayahs with translations and tafseer notes</li><li><strong>Islamic Reminders</strong> — daily dhikr, duas, and motivational content</li><li><strong>Halal Guidelines</strong> — practical guidance on living halal in modern contexts</li><li><strong>Educational Materials</strong> — Islamic history, fiqh basics, and aqeedah resources</li><li><strong>Community Resources</strong> — links to vetted Islamic content from trusted scholars</li></ul><h2>Motivation</h2><p>In an internet filled with questionable content, creating a clean, beneficial Islamic resource felt like both a religious duty and a creative project. Every line of code here is written with the intention of <em>sadaqah jariyah</em> (ongoing charity).</p><h2>Tech Stack</h2><p><strong>Frontend:</strong> HTML5, CSS3, Vanilla JavaScript &nbsp;|&nbsp; <strong>Hosting:</strong> GitHub Pages</p>","published","public","false","","Halal — The World of Muslim | Islamic Resources","Islamic content repository with Quranic resources, halal guidelines, and educational materials for the Muslim community.","0","0","0","0","2024-04-01 00:00:00+00","2026-01-01 00:00:00+00"
